epoch,acc,loss,val_acc,val_loss
0,0.9499037865465949,0.16582500022915161,0.7437500089406968,1.8091308385133744
1,0.9598960224381217,0.12603000958517702,0.6975000023841857,2.0921880513429643
2,0.9634068078777926,0.1142521767876382,0.6825000017881393,2.1926142871379852
3,0.9682341370109977,0.09991181343424774,0.7562500059604644,1.683810007572174
4,0.9744792867470644,0.07706155385978625,0.7450000017881393,1.7865127086639405
5,0.9792053456591855,0.06464785615367645,0.7424999997019768,1.8136768847703935
6,0.9773149218239099,0.07055798968823937,0.7437500014901162,1.8046701937913894
7,0.9784964366545575,0.06958453883465053,0.7049999982118607,2.07170874774456
8,0.9771798923433066,0.07155807956095107,0.7262499973177909,1.9184397608041763
9,0.9797792240000912,0.06387463929577748,0.7299999997019768,1.8646477818489076
